intent,text,clean_text
pendaftaran_krs,Bagaimana cara pengisian KRS semester ini?,bagaimana cara pengisian krs semester ini
pendaftaran_krs,bgmn cra ngisi krs smster ini?,bagaimana cara isi krs semester ini
pembayaran_ukt,saya mau bayar ukt lewat mandiri bagaimana,saya mau bayar ukt lewat mandiri bagaimana
pembayaran_ukt,kapan batas akhir pmbayaran ukt?,kapan batas akhir pembayaran ukt
jadwal_ujian,di mana lihat jadwal uts dan uas,di mana lihat jadwal uts dan uas
jadwal_ujian,jdwl ujian akhir smstr kapan ya,jadwal ujian akhir semester kapan ya
syarat_beasiswa,apa saja syarat mendaftar beasiswa bca,apa saja syarat mendaftar beasiswa bca
syarat_beasiswa,syrt beasiswa prstasi apa aja,syarat beasiswa prestasi apa aja
akses_portal,bagaimana cara mengakses portal siakad,bagaimana cara mengakses portal siakad
akses_portal,di mana portal akademik kampus,di mana portal akademik kampus
